Student,Period,Class,Is_new_sub,Average_grade,Perform_trend,Gender_М,Subject_3,Subject_4,Subject_5
23,2,9,0,4.1,0,False,0.5405405405405406,0.38175675675675674,0.0777027027027027
5,4,8,0,3.41,-1,True,0.27364864864864863,0.6182432432432432,0.10810810810810811
73,1,11,0,4.94,0,True,0.40625,0.4322916666666667,0.14583333333333334
3,2,9,0,3.33,1,True,0.6554054054054054,0.2702702702702703,0.060810810810810814
20,2,8,0,3.39,0,True,0.7297297297297297,0.19594594594594594,0.0472972972972973
12,4,8,0,3.72,1,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
6,1,9,0,4.26,1,False,0.6554054054054054,0.2702702702702703,0.060810810810810814
15,1,9,0,3.74,1,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
7,2,8,0,3.44,0,True,0.34797297297297297,0.3614864864864865,0.2905405405405405
34,2,11,0,3.88,0,True,0.0,0.08854166666666667,0.9114583333333334
55,2,10,0,4.38,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
13,4,8,0,4.04,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
65,2,10,0,4.31,0,False,0.27364864864864863,0.6182432432432432,0.10810810810810811
68,1,10,1,4.31,0,False,0.1858108108108108,0.6418918918918919,0.17229729729729729
7,3,8,0,3.56,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
11,4,8,0,3.56,0,False,0.16554054054054054,0.3581081081081081,0.47635135135135137
15,3,8,0,3.72,-1,True,0.27364864864864863,0.6182432432432432,0.10810810810810811
11,4,8,0,3.56,0,False,0.7297297297297297,0.19594594594594594,0.0472972972972973
24,1,8,1,3.72,0,False,0.27364864864864863,0.6182432432432432,0.10810810810810811
17,4,8,0,3.57,1,True,0.5363128491620112,0.35195530726256985,0.11173184357541899
6,3,8,0,4.25,0,False,0.0,0.4326923076923077,0.5673076923076923
51,2,10,0,4.44,-1,True,0.033783783783783786,0.5337837837837838,0.43243243243243246
72,2,10,0,4.38,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
19,2,8,0,3.61,1,True,0.25139664804469275,0.4245810055865922,0.3240223463687151
72,1,10,1,4.38,0,False,0.0,0.0,1.0
14,3,9,0,4.16,1,False,0.1891891891891892,0.5371621621621622,0.27364864864864863
3,2,8,0,3.28,1,True,0.1346153846153846,0.33653846153846156,0.5288461538461539
9,3,8,0,4.06,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
68,2,10,0,4.31,0,False,0.0,0.08854166666666667,0.9114583333333334
2,3,8,0,3.42,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
73,1,10,1,4.94,0,True,0.033783783783783786,0.5337837837837838,0.43243243243243246
25,1,8,1,3.83,0,False,0.5363128491620112,0.35195530726256985,0.11173184357541899
26,2,8,0,3.61,0,True,0.25675675675675674,0.5337837837837838,0.20945945945945946
17,2,8,0,3.61,0,True,0.4807692307692308,0.3942307692307692,0.125
33,2,11,0,4.12,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
11,1,8,1,3.5,0,False,0.25675675675675674,0.5337837837837838,0.20945945945945946
1,1,8,1,3.89,0,True,0.7297297297297297,0.19594594594594594,0.0472972972972973
51,1,10,1,4.44,0,True,0.34797297297297297,0.3614864864864865,0.2905405405405405
9,1,8,1,4.0,0,True,0.7297297297297297,0.19594594594594594,0.0472972972972973
14,4,8,0,4.13,0,False,0.0111731843575419,0.26256983240223464,0.7262569832402235
3,4,8,0,3.33,-1,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
17,3,9,0,3.58,0,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
9,4,8,0,4.04,0,True,0.16891891891891891,0.668918918918919,0.16216216216216217
62,1,10,1,3.94,0,False,0.0,0.0,1.0
11,1,9,1,3.64,0,False,0.0,0.08854166666666667,0.9114583333333334
15,2,9,0,3.79,-1,True,0.0111731843575419,0.26256983240223464,0.7262569832402235
10,2,8,0,4.17,0,False,0.34797297297297297,0.3614864864864865,0.2905405405405405
33,2,11,0,4.12,0,True,0.16554054054054054,0.3581081081081081,0.47635135135135137
59,1,11,0,3.97,0,True,0.0,0.08854166666666667,0.9114583333333334
72,2,10,0,4.38,1,False,0.1891891891891892,0.5371621621621622,0.27364864864864863
26,2,8,0,3.61,-1,True,0.033783783783783786,0.5337837837837838,0.43243243243243246
47,1,11,0,4.38,0,True,0.1858108108108108,0.6418918918918919,0.17229729729729729
16,1,8,1,4.0,0,False,0.4807692307692308,0.3942307692307692,0.125
62,1,10,1,3.94,0,False,0.6554054054054054,0.2702702702702703,0.060810810810810814
21,3,8,0,4.06,2,False,0.4807692307692308,0.3942307692307692,0.125
2,3,8,0,3.42,1,True,0.1346153846153846,0.33653846153846156,0.5288461538461539
23,2,8,0,4.0,1,False,0.4807692307692308,0.3942307692307692,0.125
72,1,11,0,4.38,0,False,0.17567567567567569,0.6148648648648649,0.20945945945945946
21,3,9,0,4.19,0,False,0.6554054054054054,0.2702702702702703,0.060810810810810814
51,1,10,1,4.44,0,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
11,3,8,0,3.58,1,False,0.27364864864864863,0.6182432432432432,0.10810810810810811
67,1,10,1,4.44,0,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
48,2,11,0,4.38,-1,False,0.16891891891891891,0.668918918918919,0.16216216216216217
15,1,8,1,3.67,0,True,0.1891891891891892,0.5371621621621622,0.27364864864864863
61,1,11,0,4.44,0,False,0.0,0.0,1.0
8,1,9,0,3.81,1,False,0.16554054054054054,0.3581081081081081,0.47635135135135137
